ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
33744722,33744722,0,186710,0,0,186710,0,2018,161365,143049,2,793,16,838,2896,810271,5038457,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33756854,33756854,0,186778,0,0,186778,0,2018,161373,143058,2,793,15,838,2896,810339,5038525,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33768986,33768986,0,186846,0,0,186846,0,2019,161397,143079,2,793,15,839,2897,810409,5038595,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33781118,33781118,0,186914,0,0,186914,0,2019,161401,143086,2,793,15,839,2897,810477,5038663,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33793250,33793250,0,186982,0,0,186982,0,2021,161425,143115,2,793,14,841,2898,810547,5038733,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33805382,33805382,0,187050,0,0,187050,0,2021,161444,143135,2,793,15,841,2900,810620,5038806,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33817514,33817514,0,187118,0,0,187118,0,2022,161464,143159,2,793,15,842,2901,810690,5038876,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33829646,33829646,0,187186,0,0,187186,0,2022,161465,143161,2,793,15,842,2901,810758,5038944,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33841778,33841778,0,187254,0,0,187254,0,2023,161483,143181,2,793,15,843,2902,810828,5039014,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33853910,33853910,0,187322,0,0,187322,0,2023,161494,143191,2,793,14,843,2902,810896,5039082,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33866042,33866042,0,187390,0,0,187390,0,2024,161519,143218,2,793,14,844,2903,810968,5039155,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33878174,33878174,0,187458,0,0,187458,0,2024,161702,143363,2,793,20,844,2909,811521,5039318,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33890306,33890306,0,187526,0,0,187526,0,2024,161719,143378,2,793,19,844,2909,811936,5039412,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33902438,33902438,0,187594,0,0,187594,0,2025,161739,143400,2,793,19,845,2910,812125,5039489,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33914570,33914570,0,187662,0,0,187662,0,2027,161755,143416,2,793,17,845,2910,812604,5039596,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33926702,33926702,0,187730,0,0,187730,0,2028,161775,143438,2,793,17,846,2911,812674,5039666,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33938834,33938834,0,187798,0,0,187798,0,2028,161780,143441,2,793,17,846,2911,812861,5039742,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33950966,33950966,0,187866,0,0,187866,0,2031,161816,143485,2,793,14,847,2912,813340,5039835,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33963098,33963098,0,187934,0,0,187934,0,2031,161819,143488,2,793,14,847,2912,813528,5039907,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33975230,33975230,0,188002,0,0,188002,0,2032,161842,143512,2,793,14,848,2913,813598,5039977,7617,26,585533,585033,5072866,5,0,0,16,3,0,0,2,2,0,0
33987362,33987362,0,188070,0,0,188070,0,2032,161844,143514,2,793,14,848,2913,814059,5040053,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
33999494,33999494,0,188138,0,0,188138,0,2033,161864,143536,2,793,14,849,2914,814249,5040133,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34011626,34011626,0,188206,0,0,188206,0,2033,161876,143548,2,793,13,849,2914,814317,5040201,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34023758,34023758,0,188274,0,0,188274,0,2034,161902,143576,2,793,13,850,2915,814777,5040279,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34035890,34035890,0,188342,0,0,188342,0,2034,161902,143576,2,793,13,850,2915,814965,5040353,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34048022,34048022,0,188410,0,0,188410,0,2035,161930,143604,2,793,13,851,2916,815035,5040423,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34060154,34060154,0,188478,0,0,188478,0,2035,161932,143606,2,793,13,851,2916,815611,5040500,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34072286,34072286,0,188546,0,0,188546,0,2035,161946,143622,2,793,14,851,2917,815681,5040570,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34084418,34084418,0,188614,0,0,188614,0,2036,161960,143635,2,793,13,852,2917,815749,5040638,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34096550,34096550,0,188682,0,0,188682,0,2036,161965,143640,2,793,13,852,2917,816313,5040715,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
34108682,34108682,0,188750,0,0,188750,0,2037,161987,143662,2,793,13,853,2918,816383,5040785,7617,26,586388,585885,5073723,5,0,0,16,3,0,0,2,2,0,0
